Prediction,Date
-959.7982824986155,2022/06/03 
-956.6739619063483,2022/06/04 
-950.4674379960733,2022/06/05 
-940.1408325011541,2022/06/06 
-951.2441240516406,2022/06/07 
60.91954563242335,2022/06/08 
58.106608040903666,2022/06/09 
70.79043235330036,2022/06/10 
57.30305626120886,2022/06/11 
56.84197061302979,2022/06/12 
58.04973293355638,2022/06/13 
77.11566220708306,2022/06/14 
63.43181325443444,2022/06/15 
74.51064326227595,2022/06/16 
57.49001393832388,2022/06/17 
57.7074628253184,2022/06/18 
58.09381398409819,2022/06/19 
58.86706562890586,2022/06/20 
58.10540097082641,2022/06/21 
72.08627103182863,2022/06/22 
59.92682803526131,2022/06/23 
61.35303431469229,2022/06/24 
68.84139377426807,2022/06/25 
61.41297992665996,2022/06/26 
75.9228735786897,2022/06/27 
65.77352728523971,2022/06/28 
62.30329853991269,2022/06/29 
62.08234584236338,2022/06/30 
69.48867197990845,2022/07/01 
